video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
31clsU1MYPE,528,14,1,UCxvYiKg0DOb4Me2UNvX0rFw,2026-02-25T21:05:00Z,People & Blogs,15300,4022.6,25,0.1160286555619039,1.0895839929580688,1.0,0.0,0.1794945299625396,143.5546875,1.0
EutkZMMjQ78,42,1,0,UCUV577R_0Iql701AhN8rgJg,2026-02-25T21:00:13Z,Autos & Vehicles,42300,604.0,16,0.0650154798761609,15.125226020812988,0.25,0.0,0.0340688861906528,101.33272058823528,0.5
VScHyJ0SdJ4,462,3,0,UChS7HzTsn7mch8yxKyvI4wg,2026-02-25T21:00:28Z,People & Blogs,54000,4939.7,26,0.0855286298757798,8.362857818603516,1.0,1.0,0.2037318348884582,87.5926906779661,0.0
QmZkvoKqblI,1338,215,43,UC9_eS61rz5VxVyWCIjelahA,2026-02-25T21:00:00Z,Travel & Events,48700,9995.8,27,0.1180539624838977,6.32286262512207,0.6666666666666666,0.0,0.1355248540639877,206.71875,1.0
KyP2o8VMkBA,1,0,0,UC1zXN43zEKRrVs8vjQKEXkg,2026-02-25T20:49:04Z,People & Blogs,13900,253.7,38,0.0039261876717707,12.089462280273438,0.0,0.0,0.0195427741855382,184.5703125,0.0
bXJdUA6-DOw,996,73,1,UCxvYiKg0DOb4Me2UNvX0rFw,2026-02-25T20:45:05Z,People & Blogs,15300,4022.9,55,0.1984498595309729,0.1824999451637268,0.0,0.0,0.3757405579090118,178.20581896551724,0.0
AmCSHURQVEs,491,65,2,UCehFSK9cZQqn4UyEZ2nDOgQ,2026-02-25T20:42:40Z,People & Blogs,54700,9122.0,52,0.0510766670134193,10.787012100219728,1.0,0.0,0.0473013333976268,77.1338619402985,0.0
W9m9iclhcV0,806,4,0,UCAUBraX79Ms-SDgWdUmQ4ww,2026-02-25T21:28:25Z,Entertainment,51300,976.5,8,0.4521739130434782,4.756767749786377,1.0,0.0,0.0654439479112625,99.38401442307692,1.0
7yzN5nsDqus,677,7,0,UCD__Soz60MY3mxMVBiTsDvg,2026-02-25T21:00:08Z,Education,16300,2014.4,57,0.2515419484283273,4.854107856750488,0.0,1.0,0.0139104817062616,107.666015625,0.0
laTeUZ2SgyA,1394,7,0,UCS6SKNDwTHQm_dB6Su9S6QQ,2026-02-25T22:18:46Z,Howto & Style,17900,40355.9,26,0.0333893015312611,4.908360481262207,0.0,0.0,0.0653382390737533,73.828125,0.0
FL4Mm5V07yI,28,1,0,UCX-YayIr3Dvr08GD5V_sW-Q,2026-02-25T22:13:01Z,People & Blogs,60600,3201.3,52,0.0086706097296627,8.602470397949219,0.3333333333333333,0.6666666666666666,0.0883450731635093,132.51201923076923,0.0
9gguP-J52Io,5515,160,10,UCAUBraX79Ms-SDgWdUmQ4ww,2026-02-25T21:50:10Z,Entertainment,51300,975.0,8,0.849768875192604,4.705935955047607,0.5,0.0,0.0879379212856292,156.60511363636363,1.0
m6AaG4aAciM,390,17,0,UCxvYiKg0DOb4Me2UNvX0rFw,2026-02-25T21:45:07Z,People & Blogs,15300,539.4,43,0.4196255648805681,1.8802917003631592,0.0,0.0,0.2061070948839187,143.5546875,0.0
